"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","306","東照宮","御旅所本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75365435000000","139.60341577000000"
"102","291","東照宮","石鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75643516000000","139.59959403000000"
"102","304","東照宮","仮殿鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75647046000000","139.60026906000000"
"102","301","東照宮","仮殿唐門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75667261000000","139.60023874000000"
"102","302","東照宮","仮殿掖門及び透塀　（掖門）","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75678716000000","139.60009919000000"
"102","300","東照宮","仮殿本殿、仮殿相の間、仮殿拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75679854000000","139.60020237000000"
"102","303","東照宮","仮殿掖門及び透塀　（透塀）","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75682086000000","139.60031182000000"
"102","289","東照宮","表門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75697635000000","139.59940928000000"
"102","288","東照宮","神厩","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75705496000000","139.59903304000000"
"102","286","東照宮","下神庫","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75718878000000","139.59946671000000"
"102","287","東照宮","水屋","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75724701000000","139.59866467000000"
"102","284","東照宮","上神庫","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75738441000000","139.59903825000000"
"102","285","東照宮","中神庫","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75740462000000","139.59933061000000"
"102","275","東照宮","神楽殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75776813000000","139.59901507000000"
"102","276","東照宮","神輿舎","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75780407000000","139.59848946000000"
"102","292","東照宮","坂下門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75787296000000","139.59921564000000"
"102","274","東照宮","上社務所","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75790268000000","139.59909355000000"
"102","298","東照宮","奥社鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75874063000000","139.59856463000000"
"102","297","東照宮","奥社銅神庫","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75878984000000","139.59857673000000"
"102","296","東照宮","奥社拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75891770000000","139.59848050000000"
"102","295","東照宮","奥社石玉垣","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75903130000000","139.59859077000000"
"102","299","東照宮","奥社石柵","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75916381000000","139.59849401000000"
"102","290","東照宮","五重塔","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸後期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75651327000000","139.59916805000000"
"102","305","東照宮","仮殿鐘楼","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75655806000000","139.60005005000000"
"102","283","東照宮","経蔵","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19080801","","栃木県","栃木県日光市山内","","","財団法人日光社寺文化財保存会","36.75737954000000","139.59852091000000"
"102","281","東照宮","鼓楼","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75755250000000","139.59854786000000"
"102","280","東照宮","鐘楼","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75757047000000","139.59894769000000"
"102","282","東照宮","本地堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19080801","","栃木県","栃木県日光市山内","","","財団法人日光社寺文化財保存会","36.75760191000000","139.59819296000000"
"102","294","東照宮","奥社唐門","国宝・重要文化財（建造物）","重要文化財","近世以前／その他","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75899464000000","139.59849075000000"
"102","293","東照宮","奥社宝塔","国宝・重要文化財（建造物）","重要文化財","近世以前／その他","","江戸中期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75906271000000","139.59849105000000"
"102","268","鑁阿寺経堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸前期","19841228","","栃木県","栃木県足利市家富町","","鑁阿寺","","36.33759621000000","139.45168648000000"
