"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","2344","姫路城","井郭櫓南方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83915666000000","134.69444221000000"
"102","2300","姫路城","いの門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83915994000000","134.69250221000000"
"102","2313","姫路城","備前門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83917025000000","134.69433125000000"
"102","2292","姫路城","ヨの渡櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83925022000000","134.69159140000000"
"102","2323","姫路城","水の五門南方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83925085000000","134.69376507000000"
"102","2283","姫路城","井郭櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83925138000000","134.69445062000000"
"102","2334","姫路城","化粧櫓南方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83926781000000","134.69224316000000"
"102","2282","姫路城","折廻り櫓","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83928581000000","134.69427196000000"
"102","2308","姫路城","ちの門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83933171000000","134.69435274000000"
"102","2322","姫路城","ニの櫓南方土塀","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19311214","","兵庫県","兵庫県姫路市本町","","国(文部科学省)","姫路市","34.83935277000000","134.69354080000000"
