"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度","source_query"
"102","3782","飯野八幡宮","唐門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","福島県","福島県いわき市平字八幡小路","","飯野八幡宮","","37.06004414000000","140.88216416000000","102-shrine"
"102","3784","飯野八幡宮","宝蔵","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","20021226","","福島県","福島県いわき市平字八幡小路","","飯野八幡宮","","37.06006159000000","140.88191669000000","102-shrine"
"102","3780","飯野八幡宮","仮殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","福島県","福島県いわき市平字八幡小路","","飯野八幡宮","","37.06020277000000","140.88193573000000","102-shrine"
"102","3779","飯野八幡宮","若宮八幡神社本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","20021226","","福島県","福島県いわき市平字八幡小路","","飯野八幡宮","","37.06026940000000","140.88231961000000","102-shrine"
"102","205","飯野八幡宮","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19830107","","福島県","福島県いわき市平字八幡小路","","飯野八幡宮","","37.06034554000000","140.88210546000000","102-shrine"
"102","207","熊野神社長床","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","鎌倉前期","19630701","","福島県","福島県喜多方市慶徳町新宮字熊野","","熊野神社","","37.61901985000000","139.83058803000000","102-shrine"
"102","209","相馬中村神社本殿・幣殿・拝殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19830107","","福島県","福島県相馬市中村字北町","","相馬中村神社","","37.79736941000000","140.91297889000000","102-shrine"
"102","00004772","都々古別神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","桃山","20141210","","福島県","福島県東白川郡棚倉町大字棚倉","","都々古別神社","","37.03205366000000","140.37594222000000","102-shrine"
"102","00004572","八幡神社","随身門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20120709","","福島県","福島県相馬市坪田","","八幡神社","","37.77645884000000","140.90970472000000","102-shrine"
"102","00004570","八幡神社","摂社若宮八幡宮本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20120709","","福島県","福島県相馬市坪田","","八幡神社","","37.77676341000000","140.90943346000000","102-shrine"
"102","00004569","八幡神社","本殿、幣殿、拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20120709","","福島県","福島県相馬市坪田","","八幡神社","","37.77699183000000","140.90975802000000","102-shrine"
"102","00004571","八幡神社","末社亀齢社本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20120709","","福島県","福島県相馬市坪田","","八幡神社","","37.77702419000000","140.90948390000000","102-shrine"
"102","3681","月山神社出羽神社湯殿山神社摂社月山出羽湯殿山三神社社殿（旧日月堂本堂）","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","20000525","","山形県","山形県西村山郡西川町大字岩根沢字上ノ平95-3","","月山神社
出羽神社
湯殿山神社","","38.45723546000000","140.10177011000000","102-shrine"
"102","3710","金峯神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","桃山","20011114","","山形県","山形県鶴岡市大字青龍寺字金峯1番地","","金峯神社","","38.67888551000000","139.80557873000000","102-shrine"
"102","179","鳥居","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","平安後期","19521122","","山形県","山形県山形市鳥居ヶ丘","","小立地区","山形市","38.22871285000000","140.32898027000000","102-shrine"
"102","3674","羽黒山三神合祭殿及び鐘楼","三神合祭殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸後期","20000525","","山形県","山形県鶴岡市羽黒町大字手向","","月山神社
出羽神社
湯殿山神社","","38.70235641000000","139.98181609000000","102-shrine"
"102","3675","羽黒山三神合祭殿及び鐘楼","鐘楼","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","20000525","","山形県","山形県鶴岡市羽黒町大字手向","","月山神社
出羽神社
湯殿山神社","","38.70254987000000","139.98135012000000","102-shrine"
"102","191","八幡神社","拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19861220","","山形県","山形県新庄市大字鳥越宇駒場","","八幡神社","","38.74163890000000","140.31645424000000","102-shrine"
"102","190","八幡神社","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19861220","","山形県","山形県新庄市大字鳥越宇駒場","","八幡神社","","38.74170759000000","140.31654374000000","102-shrine"
"102","178","八幡神社鳥居","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","平安後期","19521122","","山形県","山形県山形市蔵王成沢","","八幡神社","","38.20239180000000","140.32051439000000","102-shrine"
"102","185","水上八幡神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町後期","19080423","","山形県","山形県鶴岡市大字水沢","","水上神社","","38.70143690000000","139.74262100000000","102-shrine"
"102","00005148","大前神社","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20181225","","栃木県","栃木県真岡市東郷","","宗教法人大前神社","","36.44564472000000","140.03410278000000","102-shrine"
"102","00005149","大前神社","拝殿及び幣殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20181225","","栃木県","栃木県真岡市東郷","","宗教法人大前神社","","36.44564472000000","140.03410278000000","102-shrine"
"102","379","木幡神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町中期","19080801","","栃木県","栃木県矢板市木幡","","木幡神社","","36.79047430000000","139.93299226000000","102-shrine"
"102","380","木幡神社楼門","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町中期","19080801","","栃木県","栃木県矢板市木幡","","木幡神社","","36.79019491000000","139.93312685000000","102-shrine"
"102","394","綱神社摂社大倉神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町後期","19230328","","栃木県","栃木県芳賀郡益子町大字上大羽","","綱神社","","36.45185334000000","140.13976916000000","102-shrine"
"102","393","綱神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町中期","19160524","","栃木県","栃木県芳賀郡益子町大字上大羽","","綱神社","","36.45173452000000","140.13992405000000","102-shrine"
"102","308","東照宮","御旅所神饌所","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75354846000000","139.60300526000000","102-shrine"
"102","307","東照宮","御旅所拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75360059000000","139.60325776000000","102-shrine"
"102","306","東照宮","御旅所本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75365435000000","139.60341577000000","102-shrine"
"102","291","東照宮","石鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75643516000000","139.59959403000000","102-shrine"
"102","304","東照宮","仮殿鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75647046000000","139.60026906000000","102-shrine"
"102","301","東照宮","仮殿唐門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75667261000000","139.60023874000000","102-shrine"
"102","302","東照宮","仮殿掖門及び透塀　（掖門）","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75678716000000","139.60009919000000","102-shrine"
"102","300","東照宮","仮殿本殿、仮殿相の間、仮殿拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75679854000000","139.60020237000000","102-shrine"
"102","303","東照宮","仮殿掖門及び透塀　（透塀）","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75682086000000","139.60031182000000","102-shrine"
"102","289","東照宮","表門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75697635000000","139.59940928000000","102-shrine"
"102","288","東照宮","神厩","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75705496000000","139.59903304000000","102-shrine"
"102","286","東照宮","下神庫","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75718878000000","139.59946671000000","102-shrine"
"102","287","東照宮","水屋","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75724701000000","139.59866467000000","102-shrine"
"102","284","東照宮","上神庫","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75738441000000","139.59903825000000","102-shrine"
"102","285","東照宮","中神庫","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75740462000000","139.59933061000000","102-shrine"
"102","275","東照宮","神楽殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75776813000000","139.59901507000000","102-shrine"
"102","276","東照宮","神輿舎","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75780407000000","139.59848946000000","102-shrine"
"102","292","東照宮","坂下門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75787296000000","139.59921564000000","102-shrine"
"102","274","東照宮","上社務所","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19080801","","栃木県","栃木県日光市山内","","東照宮","","36.75790268000000","139.59909355000000","102-shrine"
"102","298","東照宮","奥社鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75874063000000","139.59856463000000","102-shrine"
"102","297","東照宮","奥社銅神庫","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19440905","","栃木県","栃木県日光市山内","","東照宮","","36.75878984000000","139.59857673000000","102-shrine"
